product_id,title,description,category,item_type,brand,model_tier,price,material,tecnologia
1,Smartphone Apple - Basic,"O Smartphone Apple - Basic é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Basic oferece Conexão 5G. Produto original Apple com acabamento premium.",Eletrônicos,Smartphone,Apple,Basic,233.89,Polímero de alta resistência,Conexão 5G
2,Smartphone Apple - Plus,"O Smartphone Apple - Plus é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Plus oferece Bateria de 5000mAh. Produto original Apple com acabamento premium.",Eletrônicos,Smartphone,Apple,Plus,350.84,Polímero de alta resistência,Bateria de 5000mAh
3,Smartphone Apple - Premium,"O Smartphone Apple - Premium é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Premium oferece Bateria de 5000mAh. Produto original Apple com acabamento premium.",Eletrônicos,Smartphone,Apple,Premium,467.78,Polímero de alta resistência,Bateria de 5000mAh
4,Smartphone Apple - Pro Max,"O Smartphone Apple - Pro Max é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Pro Max oferece Processador Octa-core. Produto original Apple com acabamento premium.",Eletrônicos,Smartphone,Apple,Pro Max,584.73,Polímero de alta resistência,Processador Octa-core
5,Smartphone Samsung - Basic,"O Smartphone Samsung - Basic é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Basic oferece Bateria de 5000mAh. Produto original Samsung com acabamento premium.",Eletrônicos,Smartphone,Samsung,Basic,429.98,Vidro temperado,Bateria de 5000mAh
6,Smartphone Samsung - Plus,"O Smartphone Samsung - Plus é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Plus oferece Conexão 5G. Produto original Samsung com acabamento premium.",Eletrônicos,Smartphone,Samsung,Plus,644.97,Vidro temperado,Conexão 5G
7,Smartphone Samsung - Premium,"O Smartphone Samsung - Premium é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Premium oferece Conexão 5G. Produto original Samsung com acabamento premium.",Eletrônicos,Smartphone,Samsung,Premium,859.96,Vidro temperado,Conexão 5G
8,Smartphone Samsung - Pro Max,"O Smartphone Samsung - Pro Max é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Pro Max oferece Tela Super AMOLED. Produto original Samsung com acabamento premium.",Eletrônicos,Smartphone,Samsung,Pro Max,1074.95,Vidro temperado,Tela Super AMOLED
9,Smartphone LG - Basic,"O Smartphone LG - Basic é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Basic oferece Bateria de 5000mAh. Produto original LG com acabamento premium.",Eletrônicos,Smartphone,LG,Basic,318.14,Alumínio aeroespacial,Bateria de 5000mAh
10,Smartphone LG - Plus,"O Smartphone LG - Plus é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Plus oferece Processador Octa-core. Produto original LG com acabamento premium.",Eletrônicos,Smartphone,LG,Plus,477.21,Alumínio aeroespacial,Processador Octa-core
11,Smartphone LG - Premium,"O Smartphone LG - Premium é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Premium oferece Processador Octa-core. Produto original LG com acabamento premium.",Eletrônicos,Smartphone,LG,Premium,636.28,Alumínio aeroespacial,Processador Octa-core
12,Smartphone LG - Pro Max,"O Smartphone LG - Pro Max é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Pro Max oferece Conexão 5G. Produto original LG com acabamento premium.",Eletrônicos,Smartphone,LG,Pro Max,795.35,Alumínio aeroespacial,Conexão 5G
13,Smartphone Motorola - Basic,"O Smartphone Motorola - Basic é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Basic oferece Conexão 5G. Produto original Motorola com acabamento premium.",Eletrônicos,Smartphone,Motorola,Basic,456.46,Polímero de alta resistência,Conexão 5G
14,Smartphone Motorola - Plus,"O Smartphone Motorola - Plus é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Plus oferece Processador Octa-core. Produto original Motorola com acabamento premium.",Eletrônicos,Smartphone,Motorola,Plus,684.69,Polímero de alta resistência,Processador Octa-core
15,Smartphone Motorola - Premium,"O Smartphone Motorola - Premium é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Premium oferece Tela Super AMOLED. Produto original Motorola com acabamento premium.",Eletrônicos,Smartphone,Motorola,Premium,912.91,Polímero de alta resistência,Tela Super AMOLED
16,Smartphone Motorola - Pro Max,"O Smartphone Motorola - Pro Max é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Pro Max oferece Tela Super AMOLED. Produto original Motorola com acabamento premium.",Eletrônicos,Smartphone,Motorola,Pro Max,1141.14,Polímero de alta resistência,Tela Super AMOLED
17,Smartwatch Apple - Basic,"O Smartwatch Apple - Basic é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Basic oferece Processador Octa-core. Produto original Apple com acabamento premium.",Eletrônicos,Smartwatch,Apple,Basic,465.82,Vidro temperado,Processador Octa-core
18,Smartwatch Apple - Plus,"O Smartwatch Apple - Plus é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Plus oferece Processador Octa-core. Produto original Apple com acabamento premium.",Eletrônicos,Smartwatch,Apple,Plus,698.72,Vidro temperado,Processador Octa-core
19,Smartwatch Apple - Premium,"O Smartwatch Apple - Premium é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Premium oferece Bateria de 5000mAh. Produto original Apple com acabamento premium.",Eletrônicos,Smartwatch,Apple,Premium,931.63,Vidro temperado,Bateria de 5000mAh
20,Smartwatch Apple - Pro Max,"O Smartwatch Apple - Pro Max é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Pro Max oferece Bateria de 5000mAh. Produto original Apple com acabamento premium.",Eletrônicos,Smartwatch,Apple,Pro Max,1164.54,Vidro temperado,Bateria de 5000mAh
21,Smartwatch Samsung - Basic,"O Smartwatch Samsung - Basic é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Basic oferece Bateria de 5000mAh. Produto original Samsung com acabamento premium.",Eletrônicos,Smartwatch,Samsung,Basic,441.7,Vidro temperado,Bateria de 5000mAh
22,Smartwatch Samsung - Plus,"O Smartwatch Samsung - Plus é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Plus oferece Processador Octa-core. Produto original Samsung com acabamento premium.",Eletrônicos,Smartwatch,Samsung,Plus,662.55,Vidro temperado,Processador Octa-core
23,Smartwatch Samsung - Premium,"O Smartwatch Samsung - Premium é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Premium oferece Bateria de 5000mAh. Produto original Samsung com acabamento premium.",Eletrônicos,Smartwatch,Samsung,Premium,883.4,Vidro temperado,Bateria de 5000mAh
24,Smartwatch Samsung - Pro Max,"O Smartwatch Samsung - Pro Max é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Pro Max oferece Bateria de 5000mAh. Produto original Samsung com acabamento premium.",Eletrônicos,Smartwatch,Samsung,Pro Max,1104.25,Vidro temperado,Bateria de 5000mAh
25,Smartwatch LG - Basic,"O Smartwatch LG - Basic é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Basic oferece Processador Octa-core. Produto original LG com acabamento premium.",Eletrônicos,Smartwatch,LG,Basic,463.82,Vidro temperado,Processador Octa-core
26,Smartwatch LG - Plus,"O Smartwatch LG - Plus é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Plus oferece Bateria de 5000mAh. Produto original LG com acabamento premium.",Eletrônicos,Smartwatch,LG,Plus,695.73,Vidro temperado,Bateria de 5000mAh
27,Smartwatch LG - Premium,"O Smartwatch LG - Premium é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Premium oferece Tela Super AMOLED. Produto original LG com acabamento premium.",Eletrônicos,Smartwatch,LG,Premium,927.64,Vidro temperado,Tela Super AMOLED
28,Smartwatch LG - Pro Max,"O Smartwatch LG - Pro Max é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Pro Max oferece Bateria de 5000mAh. Produto original LG com acabamento premium.",Eletrônicos,Smartwatch,LG,Pro Max,1159.54,Vidro temperado,Bateria de 5000mAh
29,Smartwatch Motorola - Basic,"O Smartwatch Motorola - Basic é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Basic oferece Bateria de 5000mAh. Produto original Motorola com acabamento premium.",Eletrônicos,Smartwatch,Motorola,Basic,432.89,Vidro temperado,Bateria de 5000mAh
30,Smartwatch Motorola - Plus,"O Smartwatch Motorola - Plus é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Plus oferece Bateria de 5000mAh. Produto original Motorola com acabamento premium.",Eletrônicos,Smartwatch,Motorola,Plus,649.33,Vidro temperado,Bateria de 5000mAh
31,Smartwatch Motorola - Premium,"O Smartwatch Motorola - Premium é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Premium oferece Conexão 5G. Produto original Motorola com acabamento premium.",Eletrônicos,Smartwatch,Motorola,Premium,865.78,Vidro temperado,Conexão 5G
32,Smartwatch Motorola - Pro Max,"O Smartwatch Motorola - Pro Max é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Pro Max oferece Conexão 5G. Produto original Motorola com acabamento premium.",Eletrônicos,Smartwatch,Motorola,Pro Max,1082.22,Vidro temperado,Conexão 5G
33,Notebook Apple - Basic,"O Notebook Apple - Basic é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Basic oferece Processador Octa-core. Produto original Apple com acabamento premium.",Eletrônicos,Notebook,Apple,Basic,249.42,Polímero de alta resistência,Processador Octa-core
34,Notebook Apple - Plus,"O Notebook Apple - Plus é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Plus oferece Processador Octa-core. Produto original Apple com acabamento premium.",Eletrônicos,Notebook,Apple,Plus,374.13,Polímero de alta resistência,Processador Octa-core
35,Notebook Apple - Premium,"O Notebook Apple - Premium é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Premium oferece Conexão 5G. Produto original Apple com acabamento premium.",Eletrônicos,Notebook,Apple,Premium,498.84,Polímero de alta resistência,Conexão 5G
36,Notebook Apple - Pro Max,"O Notebook Apple - Pro Max é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Pro Max oferece Conexão 5G. Produto original Apple com acabamento premium.",Eletrônicos,Notebook,Apple,Pro Max,623.55,Polímero de alta resistência,Conexão 5G
37,Notebook Samsung - Basic,"O Notebook Samsung - Basic é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Basic oferece Tela Super AMOLED. Produto original Samsung com acabamento premium.",Eletrônicos,Notebook,Samsung,Basic,238.34,Vidro temperado,Tela Super AMOLED
38,Notebook Samsung - Plus,"O Notebook Samsung - Plus é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Plus oferece Tela Super AMOLED. Produto original Samsung com acabamento premium.",Eletrônicos,Notebook,Samsung,Plus,357.51,Vidro temperado,Tela Super AMOLED
39,Notebook Samsung - Premium,"O Notebook Samsung - Premium é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Premium oferece Processador Octa-core. Produto original Samsung com acabamento premium.",Eletrônicos,Notebook,Samsung,Premium,476.68,Vidro temperado,Processador Octa-core
40,Notebook Samsung - Pro Max,"O Notebook Samsung - Pro Max é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Pro Max oferece Conexão 5G. Produto original Samsung com acabamento premium.",Eletrônicos,Notebook,Samsung,Pro Max,595.85,Vidro temperado,Conexão 5G
41,Notebook LG - Basic,"O Notebook LG - Basic é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Basic oferece Processador Octa-core. Produto original LG com acabamento premium.",Eletrônicos,Notebook,LG,Basic,391.69,Alumínio aeroespacial,Processador Octa-core
42,Notebook LG - Plus,"O Notebook LG - Plus é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Plus oferece Conexão 5G. Produto original LG com acabamento premium.",Eletrônicos,Notebook,LG,Plus,587.53,Alumínio aeroespacial,Conexão 5G
43,Notebook LG - Premium,"O Notebook LG - Premium é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Premium oferece Conexão 5G. Produto original LG com acabamento premium.",Eletrônicos,Notebook,LG,Premium,783.38,Alumínio aeroespacial,Conexão 5G
44,Notebook LG - Pro Max,"O Notebook LG - Pro Max é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Pro Max oferece Processador Octa-core. Produto original LG com acabamento premium.",Eletrônicos,Notebook,LG,Pro Max,979.22,Alumínio aeroespacial,Processador Octa-core
45,Notebook Motorola - Basic,"O Notebook Motorola - Basic é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Basic oferece Conexão 5G. Produto original Motorola com acabamento premium.",Eletrônicos,Notebook,Motorola,Basic,325.47,Alumínio aeroespacial,Conexão 5G
46,Notebook Motorola - Plus,"O Notebook Motorola - Plus é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Plus oferece Processador Octa-core. Produto original Motorola com acabamento premium.",Eletrônicos,Notebook,Motorola,Plus,488.2,Alumínio aeroespacial,Processador Octa-core
47,Notebook Motorola - Premium,"O Notebook Motorola - Premium é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Premium oferece Bateria de 5000mAh. Produto original Motorola com acabamento premium.",Eletrônicos,Notebook,Motorola,Premium,650.93,Alumínio aeroespacial,Bateria de 5000mAh
48,Notebook Motorola - Pro Max,"O Notebook Motorola - Pro Max é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Pro Max oferece Processador Octa-core. Produto original Motorola com acabamento premium.",Eletrônicos,Notebook,Motorola,Pro Max,813.66,Alumínio aeroespacial,Processador Octa-core
49,Tablet Apple - Basic,"O Tablet Apple - Basic é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Basic oferece Bateria de 5000mAh. Produto original Apple com acabamento premium.",Eletrônicos,Tablet,Apple,Basic,285.89,Alumínio aeroespacial,Bateria de 5000mAh
50,Tablet Apple - Plus,"O Tablet Apple - Plus é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Plus oferece Processador Octa-core. Produto original Apple com acabamento premium.",Eletrônicos,Tablet,Apple,Plus,428.84,Alumínio aeroespacial,Processador Octa-core
51,Tablet Apple - Premium,"O Tablet Apple - Premium é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Premium oferece Conexão 5G. Produto original Apple com acabamento premium.",Eletrônicos,Tablet,Apple,Premium,571.79,Alumínio aeroespacial,Conexão 5G
52,Tablet Apple - Pro Max,"O Tablet Apple - Pro Max é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Pro Max oferece Bateria de 5000mAh. Produto original Apple com acabamento premium.",Eletrônicos,Tablet,Apple,Pro Max,714.74,Alumínio aeroespacial,Bateria de 5000mAh
53,Tablet Samsung - Basic,"O Tablet Samsung - Basic é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Basic oferece Bateria de 5000mAh. Produto original Samsung com acabamento premium.",Eletrônicos,Tablet,Samsung,Basic,223.23,Polímero de alta resistência,Bateria de 5000mAh
54,Tablet Samsung - Plus,"O Tablet Samsung - Plus é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Plus oferece Processador Octa-core. Produto original Samsung com acabamento premium.",Eletrônicos,Tablet,Samsung,Plus,334.85,Polímero de alta resistência,Processador Octa-core
55,Tablet Samsung - Premium,"O Tablet Samsung - Premium é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Premium oferece Tela Super AMOLED. Produto original Samsung com acabamento premium.",Eletrônicos,Tablet,Samsung,Premium,446.47,Polímero de alta resistência,Tela Super AMOLED
56,Tablet Samsung - Pro Max,"O Tablet Samsung - Pro Max é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Pro Max oferece Bateria de 5000mAh. Produto original Samsung com acabamento premium.",Eletrônicos,Tablet,Samsung,Pro Max,558.09,Polímero de alta resistência,Bateria de 5000mAh
57,Tablet LG - Basic,"O Tablet LG - Basic é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Basic oferece Tela Super AMOLED. Produto original LG com acabamento premium.",Eletrônicos,Tablet,LG,Basic,388.85,Vidro temperado,Tela Super AMOLED
58,Tablet LG - Plus,"O Tablet LG - Plus é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Plus oferece Bateria de 5000mAh. Produto original LG com acabamento premium.",Eletrônicos,Tablet,LG,Plus,583.27,Vidro temperado,Bateria de 5000mAh
59,Tablet LG - Premium,"O Tablet LG - Premium é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Premium oferece Conexão 5G. Produto original LG com acabamento premium.",Eletrônicos,Tablet,LG,Premium,777.69,Vidro temperado,Conexão 5G
60,Tablet LG - Pro Max,"O Tablet LG - Pro Max é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Pro Max oferece Conexão 5G. Produto original LG com acabamento premium.",Eletrônicos,Tablet,LG,Pro Max,972.11,Vidro temperado,Conexão 5G
61,Tablet Motorola - Basic,"O Tablet Motorola - Basic é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Basic oferece Processador Octa-core. Produto original Motorola com acabamento premium.",Eletrônicos,Tablet,Motorola,Basic,242.48,Vidro temperado,Processador Octa-core
62,Tablet Motorola - Plus,"O Tablet Motorola - Plus é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Plus oferece Conexão 5G. Produto original Motorola com acabamento premium.",Eletrônicos,Tablet,Motorola,Plus,363.72,Vidro temperado,Conexão 5G
